127.0.0.1, 2017-03-09 14:32:23, GET, /Crud/default/novo_filme, HTTP/1.1, 500, 0.022319
127.0.0.1, 2017-03-09 14:32:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000436
127.0.0.1, 2017-03-09 14:32:24, GET, /Crud/default/novo_filme, HTTP/1.1, 500, 0.009681
127.0.0.1, 2017-03-09 14:32:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000572
127.0.0.1, 2017-03-09 14:32:24, GET, /Crud/default/novo_filme, HTTP/1.1, 500, 0.010681
127.0.0.1, 2017-03-09 14:32:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000396
127.0.0.1, 2017-03-09 14:32:24, GET, /Crud/default/novo_filme, HTTP/1.1, 500, 0.007275
127.0.0.1, 2017-03-09 14:32:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000300
127.0.0.1, 2017-03-09 14:32:24, GET, /Crud/default/novo_filme, HTTP/1.1, 500, 0.008314
127.0.0.1, 2017-03-09 14:32:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000289
127.0.0.1, 2017-03-09 14:32:24, GET, /Crud/default/novo_filme, HTTP/1.1, 500, 0.007910
127.0.0.1, 2017-03-09 14:32:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000245
127.0.0.1, 2017-03-09 14:32:24, GET, /Crud/default/novo_filme, HTTP/1.1, 500, 0.008443
127.0.0.1, 2017-03-09 14:32:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000264
127.0.0.1, 2017-03-09 14:32:24, GET, /Crud/default/novo_filme, HTTP/1.1, 500, 0.008316
127.0.0.1, 2017-03-09 14:32:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000382
127.0.0.1, 2017-03-09 14:32:25, GET, /Crud/default/novo_filme, HTTP/1.1, 500, 0.010678
127.0.0.1, 2017-03-09 14:32:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000400
127.0.0.1, 2017-03-09 14:32:25, GET, /Crud/default/novo_filme, HTTP/1.1, 500, 0.007665
127.0.0.1, 2017-03-09 14:32:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000885
127.0.0.1, 2017-03-09 14:32:25, GET, /Crud/default/novo_filme, HTTP/1.1, 500, 0.008731
127.0.0.1, 2017-03-09 14:32:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000264
127.0.0.1, 2017-03-09 14:32:25, GET, /Crud/default/novo_filme, HTTP/1.1, 500, 0.007867
127.0.0.1, 2017-03-09 14:32:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000358
127.0.0.1, 2017-03-09 14:32:27, GET, /admin/default/ticket/Crud/127.0.0.1.2017-03-09.14-32-25.4ee85b37-f26f-4348-9d2a-4b45aac5f101, HTTP/1.1, 200, 0.082318
127.0.0.1, 2017-03-09 14:32:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000390
127.0.0.1, 2017-03-09 14:33:10, GET, /RepoWorks/, HTTP/1.1, 200, 0.395472
127.0.0.1, 2017-03-09 14:33:23, GET, /RepoWorks/default/ver_trabalhos, HTTP/1.1, 500, 0.017919
127.0.0.1, 2017-03-09 14:33:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000253
127.0.0.1, 2017-03-09 14:33:25, GET, /admin/default/ticket/RepoWorks/127.0.0.1.2017-03-09.14-33-23.0ca48497-eea4-4f42-a0f8-645c5588867d, HTTP/1.1, 200, 0.068933
127.0.0.1, 2017-03-09 14:33:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000421
127.0.0.1, 2017-03-09 14:35:10, GET, /RepoWorks/ver_trabalhos, HTTP/1.1, 404, 0.017194
127.0.0.1, 2017-03-09 14:35:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000258
127.0.0.1, 2017-03-09 14:35:18, GET, /RepoWorks/default/ver_trabalhos, HTTP/1.1, 500, 0.016863
127.0.0.1, 2017-03-09 14:35:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000255
127.0.0.1, 2017-03-09 14:35:26, GET, /admin/default/ticket/RepoWorks/127.0.0.1.2017-03-09.14-35-18.95e6708a-f70f-4acf-a790-3bcfd16cccfc, HTTP/1.1, 200, 0.066679
127.0.0.1, 2017-03-09 14:35:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000422
127.0.0.1, 2017-03-09 14:35:41, GET, /admin/default/edit/RepoWorks/controllers/default.py, HTTP/1.1, 200, 0.336423
127.0.0.1, 2017-03-09 14:35:41, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000858
127.0.0.1, 2017-03-09 14:35:41, GET, /admin/static/_2.14.6/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000573
127.0.0.1, 2017-03-09 14:35:41, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.001233
127.0.0.1, 2017-03-09 14:35:41, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000734
